130000,Date A00 first reported (cholera)
130001,Source of report of A00 (cholera)
130002,Date A01 first reported (typhoid and paratyphoid fevers)
130003,Source of report of A01 (typhoid and paratyphoid fevers)
130004,Date A02 first reported (other salmonella infections)
130005,Source of report of A02 (other salmonella infections)
130006,Date A03 first reported (shigellosis)
130007,Source of report of A03 (shigellosis)
130008,Date A04 first reported (other bacterial intestinal infections)
130009,Source of report of A04 (other bacterial intestinal infections)
130010,Date A05 first reported (other bacterial foodborne intoxications)
130011,Source of report of A05 (other bacterial foodborne intoxications)
130012,Date A06 first reported (amoebiasis)
130013,Source of report of A06 (amoebiasis)
130014,Date A07 first reported (other protozoal intestinal diseases)
130015,Source of report of A07 (other protozoal intestinal diseases)
130016,Date A08 first reported (viral and other specified intestinal infections)
130017,Source of report of A08 (viral and other specified intestinal infections)
130018,Date A09 first reported (diarrhoea and gastro-enteritis of presumed infectious origin)
130019,Source of report of A09 (diarrhoea and gastro-enteritis of presumed infectious origin)
130020,"Date A15 first reported (respiratory tuberculosis, bacteriologically and histologically confirmed)"
130021,"Source of report of A15 (respiratory tuberculosis, bacteriologically and histologically confirmed)"
130022,"Date A16 first reported (respiratory tuberculosis, not confirmed bacteriologically or histologically)"
130023,"Source of report of A16 (respiratory tuberculosis, not confirmed bacteriologically or histologically)"
130024,Date A17 first reported (tuberculosis of nervous system)
130025,Source of report of A17 (tuberculosis of nervous system)
130026,Date A18 first reported (tuberculosis of other organs)
130027,Source of report of A18 (tuberculosis of other organs)
130028,Date A19 first reported (miliary tuberculosis)
130029,Source of report of A19 (miliary tuberculosis)
130030,Date A20 first reported (plague)
130031,Source of report of A20 (plague)
130032,Date A21 first reported (tularaemia)
130033,Source of report of A21 (tularaemia)
130034,Date A22 first reported (anthrax)
130035,Source of report of A22 (anthrax)
130036,Date A23 first reported (brucellosis)
130037,Source of report of A23 (brucellosis)
130038,Date A24 first reported (glanders and melioidosis)
130039,Source of report of A24 (glanders and melioidosis)
130040,Date A25 first reported (rat-bite fevers)
130041,Source of report of A25 (rat-bite fevers)
130042,Date A26 first reported (erysipeloid)
130043,Source of report of A26 (erysipeloid)
130044,Date A27 first reported (leptospirosis)
130045,Source of report of A27 (leptospirosis)
130046,"Date A28 first reported (other zoonotic bacterial diseases, not elsewhere classified)"
130047,"Source of report of A28 (other zoonotic bacterial diseases, not elsewhere classified)"
130048,Date A30 first reported (leprosy [hansen's disease])
130049,Source of report of A30 (leprosy [hansen's disease])
130050,Date A31 first reported (infection due to other mycobacteria)
130051,Source of report of A31 (infection due to other mycobacteria)
130052,Date A32 first reported (listeriosis)
130053,Source of report of A32 (listeriosis)
130054,Date A33 first reported (tetanus neonatorum)
130055,Source of report of A33 (tetanus neonatorum)
130056,Date A34 first reported (obstetrical tetanus)
130057,Source of report of A34 (obstetrical tetanus)
130058,Date A35 first reported (other tetanus)
130059,Source of report of A35 (other tetanus)
130060,Date A36 first reported (diphtheria)
130061,Source of report of A36 (diphtheria)
130062,Date A37 first reported (whooping cough)
130063,Source of report of A37 (whooping cough)
130064,Date A38 first reported (scarlet fever)
130065,Source of report of A38 (scarlet fever)
130066,Date A39 first reported (meningococcal infection)
130067,Source of report of A39 (meningococcal infection)
130068,Date A40 first reported (streptococcal septicaemia)
130069,Source of report of A40 (streptococcal septicaemia)
130070,Date A41 first reported (other septicaemia)
130071,Source of report of A41 (other septicaemia)
130072,Date A42 first reported (actinomycosis)
130073,Source of report of A42 (actinomycosis)
130074,Date A43 first reported (nocardiosis)
130075,Source of report of A43 (nocardiosis)
130076,Date A44 first reported (bartonellosis)
130077,Source of report of A44 (bartonellosis)
130078,Date A46 first reported (erysipelas)
130079,Source of report of A46 (erysipelas)
130080,"Date A48 first reported (other bacterial diseases, not elsewhere classified)"
130081,"Source of report of A48 (other bacterial diseases, not elsewhere classified)"
130082,Date A49 first reported (bacterial infection of unspecified site)
130083,Source of report of A49 (bacterial infection of unspecified site)
130084,Date A50 first reported (congenital syphilis)
130085,Source of report of A50 (congenital syphilis)
130086,Date A51 first reported (early syphilis)
130087,Source of report of A51 (early syphilis)
130088,Date A52 first reported (late syphilis)
130089,Source of report of A52 (late syphilis)
130090,Date A53 first reported (other and unspecified syphilis)
130091,Source of report of A53 (other and unspecified syphilis)
130092,Date A54 first reported (gonococcal infection)
130093,Source of report of A54 (gonococcal infection)
130094,Date A55 first reported (chlamydial lymphogranuloma (venereum))
